Sample,18S,Nosema,Transect.ID,Individual.ID,Year,Site,Visit,Site_Visit,Lat,Long,Date_Collected,Type,Family,Genus,Species,Code,Sex,Date_ID,ID_Initials,Dissection_Date,Dissect_Intials,Notes
2933,1,1,GT16B1N,GT16B1N-40,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/3/2016,ECC,5/17/2017,MZ,
2936,1,1,GT16B1N,GT16B1N-43,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/3/2016,ECC,7/6/2017,MZ,
2981,1,0,GT16C1N,GT16C1N-88,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/10/2016,ECC,7/6/2017,MZ,
2940,1,0,GT16B1N,GT16B1N-47,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/3/2016,ECC,7/6/2017,MZ,fly found in same tube as bee
3926,1,1,GT16B2N,GT16B2N-29,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Apis,mellifera,APME,Female,10/20/2016,MZ,5/18/2017,MZ,
3980,1,1,GT16C2N,GT16C2N-83,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Apis,mellifera,APME,Female,10/21/2016,MZ,5/15/2017,MZ,
4004,1,1,GT16D2N,GT16D2N-106,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/20/2016,MF,7/31/2017,MZ,
3957,1,0,GT16B2N,GT16B2N-60,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,10/21/2016,MZ,5/2/2017,MZ,
2354,1,1,BP16B1N,BP16B1N-39,2016,BP,1,BP1,42.5732,-84.38707,8/10/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/9/2016,MZ,7/6/2017,MZ,wings torn up on edges
2963,1,1,GT16C1N,GT16C1N-70,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/9/2016,ECC,7/31/2017,MZ,
4019,1,1,GT16D2N,GT16D2N-121,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/20/2016,MF,5/18/2017,MZ,
3949,1,1,GT16B2N,GT16B2N-52,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,10/21/2016,MZ,6/19/2017,MZ,
3923,1,1,GT16A2N,GT16A2N-26,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,10/20/2016,MZ,6/30/2017,MZ,Replacement for 3911
3934,1,0,GT16B2N,GT16B2N-37,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,10/20/2016,MZ,7/11/2017,MZ,
3986,1,0,GT16C2N,GT16C2N-89,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/20/2016,MF,7/31/2017,MZ,
3295,1,1,K16C1N,K16C1N-46,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/18/2016,MZ,5/2/2017,MZ,fly and mite found in tube
3321,1,1,K16D1N,K16D1N-72,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/18/2016,MZ,5/2/2017,MZ,
3297,1,0,K16C1N,K16C1N-48,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/18/2016,MZ,7/6/2017,MZ,
3280,1,0,K16B1N,K16B1N-31,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/18/2016,MZ,5/17/2017,MZ,
3294,1,0,K16C1N,K16C1N-45,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/18/2016,MZ,5/15/2017,MZ,no hair on T1-T3
3266,1,1,K16A1N,K16A1N-17,2016,K,1,K1,41.95222,-83.92257,8/21/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/18/2016,MZ,7/6/2017,MZ,
